              Item      Mean        SD  LeaveOneOut
142      GLADNEHb8 2.2664577 1.1022434  0.431384407
143      GLADNEHb9 2.7573770 1.0098950  0.503282743
144      GLADNEHc1 2.5933941 1.1519859  0.516595366
145     GLADNEHc11 1.9539524 1.0020092  0.537826186
146     GLADNEHc12 1.8186693 1.0197349  0.539211796
147     GLADNEHc13 2.1342435 1.0598058  0.589710527
148      GLADNEHc2 1.7269962 0.9842719  0.333035166
149      GLADNEHc3 1.6525097 0.9176398  0.398148008
150      GLADNEHc5 1.5015408 1.0036544  0.519211429
151      GLADNEHc7 2.0876586 0.9774229  0.558640952
152      GLADNEHc9 2.1527936 1.0133389  0.588526106
153      GLADNEHf7 2.0122888 0.9477923  0.551786603
154      GLADNEHf9 2.1064815 1.0531859  0.550141551
155  KAMRATLNEK01x 1.6983965 1.0524443  0.400617629
156 KAMRATLNEK01xB 2.2310427 1.0912934  0.014555314
157  KAMRATLNEK02x 1.7453794 1.0542937  0.589895100
158 KAMRATLNEK02xB 1.9747596 1.0739616  0.627729237
159  KAMRATLNEK03x 1.8115468 1.0973520  0.748093273
160 KAMRATLNEK03xB 1.8291215 1.0919946  0.725610850
161  KAMRATLNEK04x 1.8940309 1.0364886  0.728558339
162 KAMRATLNEK04xB 2.1553738 1.0553873  0.679167748
163    KAMRATLNEK1 2.0805180 0.9956202  0.695337205
164   KAMRATLNEK10 1.3855932 1.0182034  0.421224565
165  KAMRATLNEK10c 1.0761099 0.8301267  0.281295053
166   KAMRATLNEK11 2.1658456 0.9869624  0.541101412
167   KAMRATLNEK12 2.3195266 0.9743712  0.638387921
168  KAMRATLNEK12c 1.8200110 1.0485153  0.751805257
169  KAMRATLNEK12f 0.9322638 0.9271943  0.574744368
170  KAMRATLNEK12m 2.2102489 1.0335669  0.785726690
171   KAMRATLNEK13 1.3176661 1.0062608  0.461732124
172  KAMRATLNEK13f 1.7074468 0.9979808  0.642623657
173   KAMRATLNEK14 2.1037838 1.0619536  0.563506650
174  KAMRATLNEK14c 1.6892744 1.0231299  0.721010438
175  KAMRATLNEK14f 2.0354610 1.1000491  0.492401313
176  KAMRATLNEK14m 1.9760666 1.0327533  0.802149202
177  KAMRATLNEK17f 2.6782988 1.0044107 -0.545480714
178  KAMRATLNEK17m 1.4088341 1.0260152  0.562192349
179   KAMRATLNEK1e 1.6690850 0.9976665  0.412355110
180   KAMRATLNEK1f 1.6060924 1.0053927  0.644197640
181    KAMRATLNEK2 1.9516582 1.1198793  0.522935552
182  KAMRATLNEK23f 0.9194991 0.8812844  0.559655467
183   KAMRATLNEK2e 1.3160920 0.8527305  0.384602614
184   KAMRATLNEK2f 1.2492401 1.0064130  0.570059599
185    KAMRATLNEK3 1.9251322 1.0857031  0.733002173
186   KAMRATLNEK3B 1.8854415 1.1141548  0.729340904
187   KAMRATLNEK3e 1.0203644 0.9314562  0.363930661
188   KAMRATLNEK3m 2.4994775 1.0014364  0.775336739
189    KAMRATLNEK4 1.9073458 1.0647477  0.724443755
190   KAMRATLNEK4e 1.3465665 1.0594868  0.597667734
191   KAMRATLNEK4m 1.8554779 1.0727429  0.793087749
192    KAMRATLNEK5 1.5535420 1.0975595  0.436014483
193   KAMRATLNEK5e 1.7101608 1.1680008  0.424452031
194    KAMRATLNEK6 1.3801917 1.0503442  0.476333305
195    KAMRATLNEK7 1.9099049 1.1518010  0.564716562
196   KAMRATLNEK7B 1.7786697 1.0897093  0.440375807
197    KAMRATLNEK8 2.2455574 1.0417462  0.546182147
198    KAMRATLNEK9 2.3457792 1.0448083  0.572659309
199   KAMRATLNEKb1 2.1041293 1.0423633  0.488159993
200   KAMRATLNEKb2 0.9651899 0.9268775  0.352290524
                                                                                          ItemText
1                                               Dagar av aktivitet utan avbrott piggar upp mig | +
2                                               Har ständigt dagar av aktiviteter utan avbrott | +
3                                                 Arrangerar nya fritidsaktiviteter hela tiden | +
4                                                      Tycker om att delta i många aktiviteter | +
5                                       Uppskattar dagar när jag känner mig väldigt aktiverad  | +
6                                        Under en normal dag i mitt liv händer det ofta mycket | +
7                                                         Föredrar att ha ganska lite att göra | -
8                                       Är aktiv även när det finns möjlighet att ta det lugnt | +
9                                                     Gillar att ständigt vara igång med något | +
10                                          Gillar verkligen att ständigt vara igång med något | +
11                                                      Får energi av att ta det lite lugnare  | -
12                                           Tar det lite lugnare för att ladda mina batterier | -
13                                              Gillar att ständigt ha någon aktivitet på gång | +
14                             Tycker det är bra när dagar är fria från allt för mycket ståhej | -
15                                           Mina dagar är oft fria från alltför mycket ståhej | -
16                                               Vill ha ständigt nya saker på gång hela tiden | +
17                                            Tycker om att ständigt arrangera nya aktiviteter | +
18                                                 En dag utan aktivitet laddar mina batterier | -
19                                                  Har många dagar som saknar aktivt innehåll | -
20  Låter vanligtvis bli att sätta mig i en sits där jag har för många saker på gång samtidigt | -
21                                                              Får energi av att ta det lugnt | -
22                                                        Gillar att ha en nästan tom kalender | -
23                              Ser inget egenvärde i en fritid full med massor av aktiviteter | -
24                                           Fyller inte min fritid med massor av aktiviteter  | -
25                                                      Vill helst syssla med en sak åt gången | -
26                                   Efter en dag av aktiviteter känner jag mig full av energi | +
27                              Även efter en dag full av aktiviteter har jag massor av energi | +
28                                  Tycker det är bra när vissa dagar har en lite lugnare rytm | -
29                                           Tycker det är bra när vissa dagar är händelselösa | -
30                                                           Dagar av aktivitet piggar upp mig | +
31                                              Dagar av aktivitet utan avbrott piggar upp mig | +
32                                                 Ser fördelarna med dagar av lägre aktivitet | -
33                                                   Ser fördelarna med dagar av låg aktivitet | -
